episode,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,peak_mw,wall_s
0,132.6207688677106,0.9506541886054547,0.0,0.844547761005257,3.4269260293482784,14.9
1,138.6607295204101,0.9529043597839087,0.0,0.8733438492113496,3.434108636406733,12.3
2,262.08464592377965,0.9491513265998897,0.1388888888888889,0.9412655932601958,3.565899215697337,12.3
3,240.76006910222458,0.9487593680221601,0.625,0.925344222078754,3.5178963509654273,12.3
4,216.08939515231893,0.9490263082546491,0.1388888888888889,0.8543652379326002,3.565288447698266,12.3
5,216.01801871917212,0.9501118944402028,0.0,0.8419231815877988,3.485334074205292,12.5
6,159.68935697505955,0.9500876356990816,0.0,0.798614738210397,3.515619226888179,12.3
7,108.20966267100692,0.9530941253256673,0.0,0.6038532032757276,3.3793142822651,12.4
8,143.71588155241477,0.9527731906478155,0.0,0.6951231666133754,3.4086151597452243,12.5
9,159.68656189298156,0.9503477203024411,0.0,0.761744746761314,3.4226403969418495,12.7
10,181.30897044000372,0.9516815753283361,0.0,0.7663458645705684,3.450609102671337,12.5
11,181.3927359747511,0.9497607106304641,0.06944444444444445,0.7801129506034987,3.5297176750977335,12.5
12,135.97635954317093,0.950139711574356,0.0,0.7234591451715989,3.5479668188908953,12.5
13,192.06515953274578,0.9471791525523905,0.4166666666666667,0.8312614134363586,3.543451259406785,12.6
14,207.04645373624,0.9503599855258532,0.0,0.8882600015557977,3.509230755343601,12.5
15,194.68312978803425,0.9487898332012406,0.20833333333333334,0.8943895452831575,3.4786384475271124,12.5
16,162.11949334335864,0.9528309493681244,0.0,0.8076632528261728,3.434236107699796,12.5
17,163.40769806730228,0.9489675605510725,0.06944444444444445,0.7707412135110867,3.582331995257765,12.7
18,151.46961075063368,0.949158743030894,0.06944444444444445,0.7017795206127246,3.545207175720512,12.5
19,150.7085277262456,0.9520358956571423,0.0,0.7118818405024302,3.4711907178707815,12.5
20,159.57227253766604,0.9510630872036655,0.0,0.7748888170062186,3.4329211914705215,12.5
21,170.3823007547669,0.9530012469424405,0.0,0.8669460467388161,3.4011730464848275,12.6
22,179.93129458585153,0.9514937152861583,0.0,0.8820911391639508,3.47401538584443,12.5
23,183.9049629912399,0.9499715810919387,0.1388888888888889,0.7816754455493907,3.509444135186325,12.4
24,204.12332529696414,0.947129208602774,0.7638888888888888,0.8352659657418448,3.606654100519961,12.4
25,164.09895633407118,0.9514764734719994,0.0,0.8085830749346617,3.4403023074442083,12.6
26,180.72103841723404,0.9485882447703686,0.1388888888888889,0.8381356219170906,3.474382771103876,12.4
27,170.28337640174004,0.9487376817007834,0.20833333333333334,0.7836386535581524,3.5434033051897824,12.5
28,186.15539675043408,0.9498966947601089,0.06944444444444445,0.8323602258844865,3.496298808061051,12.5
29,249.16966920613808,0.947174398599208,0.9722222222222222,0.9483756440155293,3.5688588886261594,12.6
30,256.71523139771045,0.9495047504639209,0.06944444444444445,0.9312829132823373,3.5748700760333136,12.5
31,258.94156592129696,0.9481535874866048,0.7638888888888888,0.9022707833286244,3.565098372510641,12.5
32,258.443315457121,0.9498914373748204,0.1388888888888889,0.9237557175311357,3.576097901505463,12.5
33,247.77267038188472,0.9485192706468365,0.3472222222222222,0.9063576481143713,3.5700231348035976,12.6
34,254.0088978908031,0.9505011480466543,0.0,0.8938495365624034,3.521737801220119,12.5
35,251.028021793955,0.949975477345903,0.06944444444444445,0.9262035108416334,3.5415049688817515,12.5
