scenario,method,n,daily_cost_usd_mean,daily_cost_usd_ci,daily_cost_usd_p_raw,daily_cost_usd_d,min_voltage_pu_mean,min_voltage_pu_ci,min_voltage_pu_p_raw,min_voltage_pu_d,violation_rate_pct_mean,violation_rate_pct_ci,violation_rate_pct_p_raw,violation_rate_pct_d,service_quality_mean,service_quality_ci,service_quality_p_raw,service_quality_d,daily_cost_usd_p_holm,min_voltage_pu_p_holm,violation_rate_pct_p_holm,service_quality_p_holm
S1,cpo,50,65.82007336847543,1.4570086509019171,4.615012411264489e-78,-16.1849066587559,0.9539669600994448,0.00019551360147924534,3.936156672263033e-28,3.270574916194633,0.0,0.0,,,0.783558941919908,0.006113984986238465,3.6227901244724377e-68,-9.82912311486792,5.538014893517387e-77,9.840391680657583e-27,,1.1230649385864557e-66
S1,flat_ddpg,50,105.27477248336726,2.265352944322029,5.759899583904196e-68,-9.235362770927773,0.9521941906243986,0.00030872230072189,7.703576444303042e-07,1.056757633510157,0.002777777777777776,0.0038103173776627194,0.1593860519746163,0.2857738033247041,0.8304569321831019,0.010374815773252105,1.120906306039464e-36,-5.07077852563385,6.335889542294615e-67,6.162861155442434e-06,0.3187721039492326,1.2329969366434102e-35
S1,hrl,50,51.35501494758378,1.508433120677355,5.302094658358496e-83,-17.99575740027375,0.9540896141388547,0.0002499660163495855,5.378378418684407e-28,3.1126791134929443,0.0,0.0,,,0.7793375314796149,0.013059283859518536,6.804135435904478e-37,-5.606238380118477,9.013560919209443e-82,1.2908108204842577e-26,,8.164962523085374e-36
S1,milp,50,35.301026477728016,1.584306655620208,1.7388923905969488e-88,-19.89311024951347,0.952959777342524,0.000313191759958615,6.098708987771735e-14,1.7525128226094697,0.0,0.0,,,0.49514537874967735,0.02042973621213554,9.004648595947958e-45,-9.025394107268012,3.303895542134203e-87,7.928321684103256e-13,,1.3506972893921937e-43
S1,nested,50,184.24788229123217,2.4707204851863316,,,0.9510535875673863,0.0002893198016305382,,,0.0,0.0,,,0.9782572374506608,0.004786667543420223,,,,,,
S1,ppo_lag,50,61.50944727842689,1.519673773225286,1.9590177559908195e-80,-16.587036446026517,0.9543031714350113,0.00018668169773572877,2.5292775088880335e-31,3.6995767452609667,0.0,0.0,,,0.752295744952615,0.00920249662823501,9.87317491264919e-54,-8.539218751253486,3.134428409585311e-79,7.840760277552904e-30,,2.5670254772887895e-52
S1,tou,50,178.8853550000001,2.509244102922959,0.0035840845345724657,-0.5969408940796799,0.9501084073120022,0.00048218956224255563,0.0014692358032247408,-0.6588871514658461,0.17916666666666664,0.09398648773383973,0.00048787083290671414,0.7472705388483825,0.99900056791341,0.0006396210651122226,3.359807624129394e-11,1.6837909209344673,0.014336338138289863,0.007346179016123704,0.004871664368372653,5.0339498313371525e-11
S1,uncoordinated,50,189.56668500000006,2.532896092783668,0.004019678180546775,0.5892470222549137,0.950267660637602,0.0004860251142443781,0.007933084781299697,-0.5446822530468306,0.14305555555555555,0.08086738496215444,0.0011042177572969305,0.6934535821088058,0.9992715967687932,0.0006238707624386257,2.273229929989893e-11,1.7065193022449359,0.014336338138289863,0.03173233912519879,0.007957608511630394,5.0339498313371525e-11
S2,cpo,50,108.07132627931117,1.8642252358562186,4.3210900354199425e-94,-22.749401737139134,0.953022252798036,0.000272648844592102,3.1765945092358344e-27,4.008602843195153,0.0,0.0,,,0.7830545814156286,0.005010388476354523,9.39988436102659e-77,-12.068244006898153,8.718887398362619e-93,7.306167371242419e-26,,3.2899595263593063e-75
S2,flat_ddpg,50,177.88813934892903,3.0018713696252632,2.4164483186852396e-79,-12.119205815100155,0.9496326288903008,0.00041711376106845217,0.023841478769900268,-0.46558213034055485,0.19999999999999996,0.10490201189093289,0.00048716643683726534,0.747364121877022,0.8611071883788035,0.008023953585507336,1.4871864859423344e-38,-5.230943049610381,3.1413828142908115e-78,0.0715244363097008,0.004871664368372653,1.9333424317250346e-37
S2,hrl,50,80.22088055852174,1.6354982492500252,4.151851142077438e-94,-26.892911112733174,0.9540646763280951,0.0002383311073867538,9.036558147189603e-38,6.178154977302954,0.0,0.0,,,0.7926523223885603,0.009519685761886876,7.295193626180461e-45,-7.139624574749367,8.718887398362619e-93,3.162795351516361e-36,,1.1672309801888738e-43
S2,milp,50,57.346893558572795,1.6793266495500592,2.130797330199997e-98,-29.421041987545493,0.9512470228587456,0.0003898886801794367,1.1821371776322374e-06,1.0982952744286951,0.02916666666666667,0.02133224823629274,0.010003330523697071,0.5359647612707649,0.4860493617773092,0.014928164045466662,1.2251244461989892e-53,-12.546285506420261,4.687754126439993e-97,8.274960243425661e-06,0.050016652618485355,3.062811115497473e-52
S2,nested,50,305.9767118007047,2.855485759364959,,,0.9501355948100259,7.312753850371369e-05,,,0.0,0.0,,,0.9808891032314804,0.004023694648573973,,,,,,
S2,ppo_lag,50,106.73825570356726,2.3653537468232133,5.937649631870639e-100,-21.063399263991283,0.9533825432855951,0.0002732050039674938,1.00432178168129e-29,4.500361349551321,0.0,0.0,,,0.7639720628447594,0.008447336198192459,9.083964281194535e-54,-9.087775633862499,1.365659415330247e-98,2.9125331668757414e-28,,2.4526703559225246e-52
S2,tou,50,296.82972000000007,3.053645954227412,4.236723592247251e-05,-0.8576530268736928,0.9457835208076851,0.0006069246025057993,6.055277781009319e-19,-2.7907299952968194,3.9166666666666674,0.8035426959393824,8.96724064611061e-13,1.9107053565317402,0.998728845246959,0.0007217931806836369,1.6779832771123842e-11,1.7106929492315774,0.0002542034155348351,1.0293972227715842e-17,1.3450860969165916e-11,5.0339498313371525e-11
S2,uncoordinated,50,315.40157000000005,3.08852364129334,2.8602602226860412e-05,0.8783404576568234,0.946004445815786,0.0006025001157713371,3.598231845962763e-18,-2.6682358493150042,3.5027777777777778,0.7553375584204016,4.34222732065994e-12,1.8178480251403868,0.9989297852790014,0.0006918391846434477,1.1867094723868675e-11,1.7321574722721358,0.00020021821558802288,5.757170953540421e-17,6.079118248923917e-11,4.74683788954747e-11
