episode,stage,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,q_activation_freq,curtailed_kwh,peak_mw,wall_s
0,0,49.44441849204171,0.9555049909071784,0.0,0.9835291880427716,0.0,0.0,3.3249468450272035,16.3
1,0,50.66480212628002,0.9548374453383284,0.0,0.9665694277414832,0.0,0.0,3.35025531540928,15.8
2,0,50.2071485061005,0.9542349665890955,0.0,0.7957026768169622,0.0,0.0,3.388470425837233,15.7
3,0,36.48144910172093,0.9554918312501434,0.0,0.7394591277145183,0.0,0.0,3.3259064281111876,15.6
4,0,39.064693310720266,0.9547735506839222,0.0,0.9145533272091366,0.0,0.0,3.338515990667943,15.3
5,0,44.32722754065694,0.9550804710804695,0.0,0.7852013837957437,0.0,0.0,3.3199974953212683,15.4
6,0,37.25877697589559,0.9542678439340612,0.0,0.668563782224415,0.0,0.0,3.3405616971115535,15.3
7,0,54.75479379912931,0.9545841313230967,0.0,0.919764335617592,0.0,0.0,3.337219119698456,15.2
8,0,57.24981242838387,0.9541826574843146,0.0,0.8873658472677515,0.0,0.0,3.353492259929425,15.3
9,0,57.30683109727226,0.9539501647864227,0.0,0.802699360875798,0.0,0.0,3.3531678989407316,15.5
10,0,69.32477524518622,0.9551179663996319,0.0,0.856412632490381,0.0,0.0,3.353161584958123,15.3
11,0,75.56869802509472,0.9542560437941697,0.0,1.0,0.0,0.0,3.3451694772922433,15.3
12,0,77.13151577116324,0.9538998482500218,0.0,0.9928322698271591,0.0,0.0,3.422324239692913,15.3
13,0,74.13494405877903,0.9515659038379667,0.0,0.9268422811488017,0.0,0.0,3.4725205465082287,16.0
14,0,93.72917612389976,0.9544912520562462,0.0,1.0,0.0,0.0,3.400439578808945,15.7
15,0,72.20417741685573,0.9545302318589407,0.0,1.0,0.0,0.0,3.3200942586726945,15.7
16,0,84.73926247262543,0.9525052161711806,0.0,0.9678933364730419,0.0,0.0,3.4313611012950185,15.8
17,0,72.56052447292441,0.9533105824722726,0.0,0.8858385149775234,0.0,0.0,3.3702791663085523,15.7
18,0,71.13911935418712,0.953658720405829,0.0,0.993310909967031,0.0,0.0,3.3738448620132417,16.0
19,1,84.74397036568361,0.9533391551539352,0.0,0.9006695786178405,0.0,0.0,3.39239072497975,15.7
20,1,147.76071205067458,0.9530598271555859,0.0,0.913902839608402,0.0,0.0,3.428652416479553,15.5
21,1,124.51416725767135,0.9508782287614291,0.0,0.8155827325297054,0.0,0.0,3.4734570786399352,15.3
22,1,150.58576154684067,0.951675446289832,0.0,0.8914853485553486,0.0,0.0,3.503891642140003,15.4
23,1,141.87249390466252,0.9518690298700144,0.0,0.8968430336556394,0.0,0.0,3.455079291079521,16.0
24,1,144.7930662107535,0.9523549501135241,0.0,0.9449703891726154,0.0,0.0,3.453730588231824,15.4
25,1,137.2733043665795,0.9525924386152607,0.0,0.8933233874879293,0.0,0.0,3.422615632967551,15.5
26,1,118.52598577569556,0.9531496556497097,0.0,0.8385753345887599,0.0,0.0,3.3728925083191563,15.8
27,1,120.79628068886306,0.9517558100550156,0.0,0.8387732520598016,0.0,0.0,3.470309801120684,16.1
28,1,143.00567634279278,0.9533587777179348,0.0,0.9358604182921483,0.0,0.0,3.406257282073086,15.9
29,1,144.09196382850692,0.9527186008683155,0.0,0.9161882584091737,0.0,0.0,3.409334219172695,15.7
30,1,143.90416830264797,0.9536594125342357,0.0,0.9800984778923748,0.0,0.0,3.382416427190563,15.8
31,1,146.27912265364586,0.9509537477355303,0.0,0.9679633913204673,0.0,0.0,3.474997057451246,15.5
32,1,142.5927333207823,0.9519659203329902,0.0,0.9217502034240072,0.0,0.0,3.472648865228045,15.6
33,1,128.54450044367596,0.9525624615668044,0.0,0.8488435351204558,0.0,0.0,3.4361270763609255,15.8
34,1,159.33252633426451,0.9535280839993138,0.0,0.9069023151620949,0.0,0.0,3.430480368548132,15.7
35,1,144.4587366983081,0.9540841453187776,0.0,0.9549445997506956,0.0,0.0,3.405358377339606,15.4
36,1,155.23365158742774,0.9512680665675662,0.0,0.9388371111351992,0.0,0.0,3.4388362056300066,15.5
37,1,142.000863376377,0.9501050630181423,0.0,0.9631971356251723,0.0,0.0,3.466617519933475,15.5
38,1,148.2406755138208,0.9518617138267244,0.0,0.8163532060572188,0.0,0.0,3.4371562252736325,15.6
39,2,144.94933835633034,0.952346773636714,0.0,0.9577989184745431,0.0,0.0,3.428834802080305,15.5
40,2,205.229676120211,0.9508163015714831,0.0,0.9110975387309621,0.0,0.0,3.4977156364669626,15.6
41,2,196.67626865060984,0.9500901407817023,0.0,0.9267440110326427,0.0,0.0,3.54117218597966,15.7
42,2,211.22283006327785,0.9512558906272316,0.0,0.9632130818664988,0.0006944444444444445,0.0,3.5267427145714874,15.5
43,2,210.15755262992806,0.9503166780792782,0.0,0.934828435881262,0.0,0.0,3.4857156156627194,15.5
44,2,218.38721459052692,0.9504724645787573,0.0,0.8782150542779736,0.001388888888888889,0.0,3.5714491711025023,15.6
45,2,232.73587758213807,0.950148951555006,0.0,0.9788188826184335,0.003472222222222222,0.0,3.564342014372596,15.8
46,2,242.6027584919991,0.9500285554861461,0.0,0.9531901135630677,0.01597222222222222,0.0,3.530988783804689,16.1
47,2,230.61799929020518,0.9500666671706292,0.0,0.9462366403790217,0.0020833333333333333,0.0,3.494763694967719,15.6
48,2,216.74763680093616,0.9501482035399285,0.0,0.8955552014109736,0.008333333333333333,0.0,3.5666308511989016,15.7
49,2,221.37621573757428,0.9511352431905802,0.0,0.9619167561684563,0.0,0.0,3.49419706961466,15.8
50,2,218.42206239505802,0.9501352619923517,0.0,0.9378230373652275,0.0020833333333333333,0.0,3.5320646186927656,15.6
51,2,228.031960883645,0.9502271657369146,0.0,0.9433017583386271,0.001388888888888889,0.0,3.5454074412546928,15.6
52,2,220.29056139118634,0.9502235445121011,0.0,0.9451633117228596,0.0006944444444444445,0.0,3.547482588634499,15.6
53,2,208.66995830954644,0.9522969964467143,0.0,0.9475405592798667,0.0,0.0,3.472459804489764,15.8
54,2,246.8870829239358,0.9506393795486778,0.0,0.9823231168521702,0.0020833333333333333,0.0,3.528461392040592,15.6
55,2,203.38192426682966,0.952159234305913,0.0,0.9217501645488543,0.0,0.0,3.4492992831513254,15.5
56,2,227.1399422157523,0.9503329695034354,0.0,0.9485589508441243,0.0006944444444444445,0.0,3.576969759262886,15.6
57,2,234.24679189868422,0.9504178044402972,0.0,0.9614819974554759,0.001388888888888889,0.0,3.5395406117079866,15.5
58,2,209.67638815895862,0.9509829911342295,0.0,0.9152419781941463,0.0006944444444444445,0.0,3.4726998180932345,15.7
59,3,235.71510756699175,0.9503030644306056,0.0,0.9697747728238194,0.0006944444444444445,0.0,3.5774465703662544,15.6
60,3,299.0980125755749,0.9500001032414724,0.0,0.9296315989088059,0.024305555555555556,0.0,3.6251018968525184,16.2
61,3,282.8901951229293,0.9501790065397536,0.0,0.9228573389259462,0.004861111111111111,0.0,3.5873645441627935,15.8
62,3,295.42484583802013,0.9500025609606442,0.0,0.9587838416489207,0.020833333333333332,0.0,3.5872429180194922,16.2
63,3,283.3016965897718,0.9500074703419635,0.0,0.9415678828946613,0.003472222222222222,0.0,3.5688958404541196,15.6
64,3,308.198982453916,0.9500305360807949,0.0,0.9663492377130254,0.01597222222222222,0.0,3.6169422664246302,16.2
65,3,302.00957173567133,0.9500482064807025,0.0,0.9831015913481066,0.02013888888888889,0.0,3.5967613310129116,16.0
66,3,292.48546021810154,0.9500748219295906,0.0,0.911128970154263,0.005555555555555556,0.0,3.6317245777230087,15.8
67,3,315.7681753962921,0.9500245954667718,0.0,0.9661603366095868,0.027083333333333334,0.0,3.5952607808555817,16.8
68,3,285.9583772564017,0.9502433487864956,0.0,0.9323051800812338,0.001388888888888889,0.0,3.5974747332253596,15.8
69,3,308.0274510259715,0.9502567752799708,0.0,0.9797272407959512,0.010416666666666666,0.0,3.619031768971461,16.1
70,3,300.66535218795855,0.9500342951977703,0.0,0.9036455094109334,0.05555555555555555,0.0,3.637607270363677,17.8
71,3,290.2961798775788,0.9500523389739024,0.0,0.9507284170442241,0.08263888888888889,1.120213900548417,3.6145008642266307,18.7
72,3,282.7227066167928,0.9500286287506572,0.0,0.8973716695225274,0.025,0.0,3.656383890332598,16.3
73,3,292.8438541134765,0.9500582474962252,0.0,0.9771155476572846,0.006944444444444444,0.0,3.622303926937275,16.0
74,3,303.935534072302,0.9500650521074014,0.0,0.9572360573837362,0.050694444444444445,0.8720826887642119,3.6266565929748342,17.3
75,3,269.45987076058805,0.9500976697144,0.0,0.9108003511053202,0.0,0.0,3.562889421161774,15.7
76,3,318.21385380724826,0.9501035592373063,0.0,0.9506253156737537,0.03680555555555556,0.0,3.64255747398027,16.8
77,3,320.30138698775784,0.9500482243382687,0.0,0.9959122784919064,0.044444444444444446,0.0,3.608262595693888,17.1
78,3,301.15162469271985,0.9500264218225528,0.0,0.9773416371994372,0.030555555555555555,0.0,3.6169754015541384,16.2
79,4,293.69844138788966,0.9500256533020734,0.0,0.9606815507515163,0.044444444444444446,0.954261136994748,3.631740889342332,16.7
80,4,296.7523176932916,0.950071804225952,0.0,0.9422688292866214,0.02673611111111111,0.0,3.5744983809577,32.3
81,4,275.4249722419093,0.9500965289389774,0.0,0.9593330066179548,0.007638888888888889,0.0,3.5743877322734847,31.2
82,4,315.6023538458379,0.9501156722483116,0.0,0.9464473713465018,0.015625,1.146889015037424,3.6212345860830357,31.3
83,4,344.3989446130507,0.9500007226557642,0.0,0.935663042526125,0.02361111111111111,0.0,3.6235092499729356,31.6
84,4,281.7319243411985,0.9501934336026389,0.0,0.9787954350625847,0.004166666666666667,0.0,3.533752405751985,30.7
85,4,311.48321027246345,0.9500062098783094,0.0,0.9799586077674537,0.03090277777777778,2.769140025929692,3.607096899532943,33.4
86,4,326.99721918704824,0.9500136958919426,0.0,0.9441012539656837,0.008680555555555556,0.0,3.6277049223862194,30.9
87,4,309.5215185536264,0.9502302489125306,0.0,0.9470610949656055,0.005555555555555556,0.0,3.5938696921268196,31.0
88,4,320.32524877410646,0.9500681620191581,0.0,0.9355889132167559,0.008680555555555556,0.0,3.6558408807849005,31.2
89,4,334.00854655623203,0.950002140886534,0.0,0.9720255222099055,0.009027777777777777,0.0,3.6151643617200087,31.2
90,4,313.1061796241615,0.9500210650478748,0.0,0.9425145855684857,0.04027777777777778,1.1160017569767353,3.6199328139798292,32.7
91,4,305.6791042025432,0.9500240589968886,0.0,0.9772000952316587,0.012152777777777778,0.0,3.556914124746603,31.1
92,4,308.45315191642885,0.9500102035398579,0.0,0.9518001221844574,0.016666666666666666,0.0,3.678515208731807,31.2
93,4,272.6234486950026,0.9500317373620408,0.0,0.8508862594559206,0.0038194444444444443,0.0,3.5814499936286337,30.9
94,4,255.53008163473444,0.9504913162807057,0.0,0.9135886042053876,0.0,0.0,3.5166950913435646,30.4
95,4,296.254061325612,0.950051243607957,0.0,0.9327093017354703,0.003472222222222222,0.0,3.5908760693583646,31.2
96,4,298.41168787519416,0.9500123391751576,0.0,0.9432299554429637,0.016319444444444445,0.0,3.625227181727499,31.2
97,4,311.7964252659354,0.9500012407746307,0.0,0.9263530566897231,0.024652777777777777,0.0,3.570941355259695,32.3
98,4,320.6834975314936,0.9500530788229282,0.0,0.9727088803897918,0.02673611111111111,0.0,3.5744247322603897,31.5
99,4,308.9517044526576,0.9500004085927485,0.0,0.9710527193885525,0.016666666666666666,0.0,3.6022627674401346,31.4
100,4,279.3493764006333,0.9500141347380302,0.0,0.9160481729749986,0.006597222222222222,0.0,3.608538986762621,30.4
101,4,306.12875084078553,0.9500279567909284,0.0,0.9433949316547158,0.0125,0.0,3.628228882059171,30.8
102,4,312.3392890626587,0.9500123297899054,0.0,0.9319613231922044,0.022916666666666665,1.5136832705278005,3.6064237724667243,31.5
103,4,293.7320015935822,0.9500449634187345,0.0,0.9380025378263577,0.010763888888888889,0.0,3.53885463453004,30.8
104,4,292.45863327925866,0.9500056778193006,0.0,0.9345408659456902,0.005902777777777778,0.0,3.5675005003556564,30.6
105,4,320.196127607371,0.9501179179317109,0.0,0.9723684822667372,0.044097222222222225,2.489903789446299,3.6477487143401173,33.7
106,4,308.4407090493756,0.9500668186091384,0.0,0.986239460488618,0.021527777777777778,0.0,3.6327116881146853,31.6
107,4,306.4961661435586,0.9500755992210043,0.0,0.9777697182296179,0.011805555555555555,0.0,3.6202046292780987,30.8
108,4,339.35478218072706,0.9500368706297392,0.0,0.9982462702393763,0.049652777777777775,6.513441157977221,3.62213092830452,34.5
109,4,322.2014472515052,0.9500332942027074,0.0,0.9707232620490747,0.021875,1.4468604000781016,3.6707067974878758,31.2
110,4,311.21183623580964,0.950009081397554,0.0,0.9485193435238204,0.028819444444444446,1.319585512887228,3.587104506996846,32.2
111,4,317.8272547510746,0.9500006767360053,0.0,0.963185073909994,0.02847222222222222,0.0,3.563799464934049,32.4
