episode,stage,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,q_activation_freq,curtailed_kwh,peak_mw,wall_s
0,0,8.959969634127871,0.9546924705628341,0.0,0.6058901707505754,0.0,0.0,3.346673383795637,15.2
1,0,9.18290424634119,0.9549477966526708,0.0,0.6963434166204757,0.0,0.0,3.3310464593212568,13.9
2,0,11.411286225385968,0.9561441341158815,0.0,0.6699785820640747,0.0,0.0,3.3143343966310876,13.9
3,0,13.448839906705949,0.9558521018947832,0.0,0.5953903688455128,0.0,0.0,3.296441461277691,14.0
4,0,9.314336921288998,0.9538902156349569,0.0,0.706333536439321,0.0,0.0,3.3754706564060943,14.2
5,0,15.74068050902169,0.9562456642584373,0.0,0.7184139276106388,0.0,0.0,3.311599642201839,13.8
6,0,11.71254930688164,0.9549473796660618,0.0,0.5343929553132123,0.0,0.0,3.3420421913467844,13.6
7,0,9.222033473306952,0.9544757150531314,0.0,0.5867421577309644,0.0,0.0,3.3482346115525856,13.7
8,0,9.668917824411047,0.9557011987859598,0.0,0.4953691162627973,0.0,0.0,3.319622175572719,14.1
9,0,15.307100782916974,0.9558841000233662,0.0,0.7029994700337863,0.0,0.0,3.3242726350560887,14.3
10,0,21.96898195041742,0.9551386826381498,0.0,0.8056707978538709,0.0,0.0,3.3254224555264877,14.0
11,0,16.347981388174762,0.955315525381485,0.0,0.8418332148357254,0.0,0.0,3.343269095700425,14.0
12,0,13.957817786646741,0.9546653385629996,0.0,0.7008906443761158,0.0,0.0,3.352010873825157,14.0
13,0,12.488322775980969,0.9544158830141516,0.0,0.5944139338834376,0.0,0.0,3.368899077844782,14.2
14,0,9.892765648341479,0.9562993063203106,0.0,0.559436571669463,0.0,0.0,3.302154542971155,14.0
15,0,17.74463845111563,0.9561036809401738,0.0,0.7468163859445848,0.0,0.0,3.305050030876473,14.0
16,0,10.974457942920125,0.9557057640452657,0.0,0.6327984827089914,0.0,0.0,3.320810315307123,14.0
17,0,17.814081310482283,0.9543893944981257,0.0,0.8475559565746524,0.0,0.0,3.3596238248629655,14.0
18,0,14.72520862099032,0.9555225436150012,0.0,0.8069572762117996,0.0,0.0,3.31580661637504,14.2
19,0,14.58507981119163,0.9554343122975888,0.0,0.7855051233532927,0.0,0.0,3.3070659814862524,14.1
20,0,17.80610039429266,0.9552783091450133,0.0,0.8215903223879878,0.0,0.0,3.3323957496148275,14.0
21,0,22.687831196500717,0.955825227495449,0.0,0.8114515470594696,0.0,0.0,3.3183394248604183,14.0
22,0,22.489951417391147,0.9544415952743055,0.0,0.8980164058041823,0.0,0.0,3.3579719666277366,14.1
23,0,11.40460640330852,0.9530518912842086,0.0,0.6488718012959976,0.0,0.0,3.401931527782828,14.2
24,0,10.617319771260693,0.9539934470284838,0.0,0.6404510317854067,0.0,0.0,3.371908840611798,14.0
25,0,21.52943504158154,0.9545538857870771,0.0,0.7917651116948504,0.0,0.0,3.3497720821202415,14.0
26,0,23.824287826586154,0.9513087134981578,0.0,0.8223402446494805,0.0,0.0,3.4653472419654094,14.0
27,0,21.262377511659615,0.9539773387893283,0.0,0.8664130454412564,0.0,0.0,3.364721105981569,14.3
28,0,18.075393134852494,0.9559206779830794,0.0,0.7169355899946668,0.0,0.0,3.3232934214165857,14.1
29,0,12.997123514211287,0.953453649121986,0.0,0.5642858443061742,0.0,0.0,3.4104388345517345,14.1
30,0,19.00073600167599,0.9549932411498568,0.0,0.7112749200001816,0.0,0.0,3.3224367110148263,14.0
31,0,14.408304715886482,0.9544588591459733,0.0,0.6832646873687342,0.0,0.0,3.3447704150674125,14.1
32,0,16.45277615043313,0.9557808191022374,0.0,0.687173611125235,0.0,0.0,3.3202988355462737,14.2
33,0,7.932238088456473,0.9543811707023068,0.0,0.531937496175732,0.0,0.0,3.3817159539746218,14.1
