episode,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,peak_mw,wall_s
0,143.46944609987057,0.9506048297644705,0.0,0.8667626529839044,3.408303461149673,15.8
1,129.27589087874563,0.9534125495280068,0.0,0.8358760334309563,3.4089244537122227,14.3
2,157.26709505716377,0.9518914129934671,0.0,0.7893976204419025,3.4597088109780514,14.5
3,95.65718569906684,0.9535142680446499,0.0,0.6310649581382345,3.3496761106891983,14.7
4,155.12901122061035,0.9492636456733768,0.06944444444444445,0.7545733305365316,3.5333279614440283,14.8
5,210.66098470681513,0.9494687688896212,0.06944444444444445,0.9234597548507776,3.47376868695883,14.5
6,164.190049014854,0.9506101974573523,0.0,0.7284877022492474,3.4851588521335364,14.5
7,76.66506766001766,0.9524632246422475,0.0,0.5390112734313047,3.354401549943366,14.5
8,59.73829611393055,0.9542497348952422,0.0,0.46532881937109577,3.3248703811771887,14.5
9,70.3956784697903,0.9551284088833233,0.0,0.4762946669998968,3.328578338548066,14.7
10,73.95403292696285,0.9530931989632654,0.0,0.48109857936044964,3.4298996181152015,14.7
11,137.89654431722494,0.9517541473086504,0.0,0.789017982734671,3.3990240289502136,14.6
12,108.05217481886073,0.9535859295400476,0.0,0.6542204568937078,3.3979668979031348,14.5
13,72.04258294785407,0.953773368259154,0.0,0.5550148886556375,3.3259685052062142,14.8
14,62.638193728024696,0.9543381454763352,0.0,0.4606718369200366,3.323260029322509,14.5
15,57.95040116259759,0.9551800172846652,0.0,0.5146160479774559,3.350115309016256,14.6
16,59.00580905987478,0.9561185763020245,0.0,0.5737037467870089,3.2916083668633753,14.5
17,61.73942356241969,0.9534201231699342,0.0,0.5797062960337362,3.4018429338981173,14.7
18,82.52707988139713,0.9535954260104089,0.0,0.6575029508415338,3.3831991012621967,14.6
19,90.53118433134824,0.953065064953954,0.0,0.6742212673804839,3.4552441125530695,14.5
20,95.76615574179878,0.9523711771656727,0.0,0.6969698415585095,3.4022337672194674,14.6
21,82.26008203948344,0.9539871754071062,0.0,0.6398928992667692,3.403620683311919,14.5
22,78.33733548022298,0.9556887287627156,0.0,0.6699304088880054,3.331669249366233,14.8
23,78.3828346559618,0.9531440010633757,0.0,0.6545866955757115,3.3436759563262264,14.6
24,74.07989219574681,0.9531291598516518,0.0,0.6377389864113522,3.390516728567215,14.5
25,77.81199322879985,0.9552581253876476,0.0,0.6705434910765449,3.3493570736032834,14.4
26,82.24865481391925,0.9523993659274165,0.0,0.6562799672557371,3.4420438599472347,14.8
27,100.52363185932948,0.9541810601684906,0.0,0.7037855927785318,3.3515623829932237,14.6
28,135.20940550291257,0.9521210039144732,0.0,0.7584243407250224,3.468502032722932,14.5
29,141.11345815710862,0.9508215773179101,0.0,0.761979046118121,3.4141714480737,14.6
30,132.8843891340733,0.953466119404836,0.0,0.81340398483193,3.384792358750647,14.5
31,125.32827733167551,0.9524792208348408,0.0,0.7168529342702157,3.384700280334186,14.7
32,138.2294046543023,0.9535818233727085,0.0,0.737828842289653,3.4230025782218094,14.5
33,102.66945963232503,0.9523865603861795,0.0,0.708602362857422,3.4418727077723865,14.5
34,111.07558635035231,0.9532385287111546,0.0,0.6860193120475244,3.452288512643505,14.5
35,89.33047299388771,0.9550829877074818,0.0,0.6537596930292808,3.3495869039030297,14.7
36,91.24052250028738,0.9548161604196621,0.0,0.6266752361517187,3.3195430980434053,14.8
37,77.55391942456129,0.954856250912886,0.0,0.6542786880617971,3.346623175066479,14.8
38,85.27597523079477,0.9541149324233884,0.0,0.6651735972887203,3.3461929844998703,14.5
39,98.51338881236752,0.9527086109361085,0.0,0.7003327078488154,3.423125470377399,14.8
40,96.60447901481233,0.9539254644260368,0.0,0.6817414545615643,3.357763731190849,15.2
41,93.35402591574706,0.9544498311903616,0.0,0.7374898839485979,3.3699950657859374,14.7
42,92.26626155175421,0.9525147718311529,0.0,0.7023372754294619,3.400472773408942,14.5
43,98.8577144008918,0.953749383628723,0.0,0.6680344966328973,3.3955746321566656,14.6
44,108.66985662498169,0.9541100999415916,0.0,0.7046127812563803,3.350684707353749,14.8
