episode,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,peak_mw,wall_s
0,137.08514577829837,0.9520529914948181,0.0,0.852790094024609,3.4453680202389387,14.9
1,132.2798530912697,0.9537698947002172,0.0,0.8250452873204751,3.4143345461920576,11.8
2,136.6746810054183,0.9526985158295079,0.0,0.7816179214876395,3.428893478728056,11.8
3,124.1111341744065,0.9525745329740487,0.0,0.7830901093788093,3.3993623871904584,11.8
4,146.873260468334,0.95192245281928,0.0,0.8362515074397635,3.4566592234818843,12.0
5,139.88877529549595,0.9520916072630694,0.0,0.7974750679746704,3.4117901502876515,11.8
6,124.38403440207242,0.9521961969475611,0.0,0.7831578809415545,3.424119572370616,11.8
7,133.60133057448266,0.9520079231472575,0.0,0.7732657572935066,3.4009065626234376,11.8
8,130.81370094862578,0.9523398322670429,0.0,0.7886921085008318,3.4130645247017366,12.0
9,120.66309000080828,0.9522517111673988,0.0,0.7378935359519445,3.393002755983371,11.8
10,141.06041718658807,0.9528150491867201,0.0,0.7877077163470203,3.386038202369825,11.8
11,130.95494435900451,0.9511250699217452,0.0,0.7881861875941758,3.462123464431247,11.9
12,130.2815589447915,0.9512858514267606,0.0,0.7788082265401065,3.5007252415184023,12.0
13,132.3301698164939,0.9515245696148779,0.0,0.7932732062272935,3.439553860597374,11.8
14,136.99498405057193,0.9526452725764454,0.0,0.8145787016700403,3.4030377255477284,11.8
15,128.2998953972459,0.9515381748014021,0.0,0.8273382728685413,3.4406534921088396,11.8
16,117.83771571621297,0.9532941420853421,0.0,0.7501094864086226,3.4144253747080615,12.0
17,129.19458057671787,0.9510561921983429,0.0,0.7797315383880156,3.503039733936682,11.8
18,137.80988474094858,0.9512751439378794,0.0,0.7871741023767953,3.4611079928721926,11.8
19,149.52847322052722,0.9518485433935381,0.0,0.7932427806393988,3.4829924821666722,11.8
20,127.48554389750954,0.9536324714238249,0.0,0.7722734497258037,3.383436332153147,12.0
21,128.54253604120015,0.9529243743569098,0.0,0.775958750481796,3.40781410818705,11.8
22,125.00992263698575,0.9527039138308566,0.0,0.7593312989085682,3.4354004991707563,11.8
23,144.21542953091856,0.9511538149648968,0.0,0.7983394986713288,3.464125181717719,11.8
24,132.05795253086086,0.9514283724424979,0.0,0.7586610955119846,3.4805903062773687,12.0
25,127.71465800005198,0.9532219768170839,0.0,0.7463436298456987,3.3842426015560356,11.8
26,135.13741666260358,0.9509471593402807,0.0,0.7807859499257397,3.4297250443655405,11.8
27,139.40184603473537,0.9506051006163948,0.0,0.7796654140846898,3.4962209318868527,11.8
28,136.84875838863846,0.9531475127590345,0.0,0.7681675180070633,3.4149764994218943,12.0
29,132.98354656687377,0.9512533628964307,0.0,0.7906058402054692,3.461161292170101,11.8
30,138.39419243776797,0.9522279225742615,0.0,0.8069894056288021,3.460256950941271,11.8
31,137.47310937997702,0.9513419409133747,0.0,0.8295512975919878,3.4512941599790534,11.8
32,135.9078018881082,0.9525580518612803,0.0,0.785181628552657,3.481686604178859,11.9
33,139.5088628259003,0.9521053419064497,0.0,0.8298893942628677,3.443439176751015,11.8
34,138.45317540657518,0.9532024182061234,0.0,0.7933018658116915,3.4204179945503466,11.8
35,136.23781096553807,0.9527792071055933,0.0,0.8205225416140334,3.417046506118583,11.8
36,134.25843064045904,0.9519813871916257,0.0,0.7995820053409826,3.400213818925077,12.0
37,122.90963448792695,0.9523871215443286,0.0,0.7883561073310934,3.4055272401203918,11.8
