episode,stage,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,q_activation_freq,curtailed_kwh,peak_mw,wall_s
0,3,120.4443002789898,0.9502068824421392,0.0,0.801609185925156,0.0006944444444444445,0.0,3.4372054490166053,16.3
1,3,100.6223200512238,0.954941826293073,0.0,0.7475916257490712,0.0,0.0,3.3597915967732415,15.8
2,3,118.86138987502709,0.9514213138801099,0.0,0.6745849273032204,0.0,0.0,3.4370124400156286,15.8
3,3,125.7525113573953,0.951258305465439,0.0,0.7439426070128627,0.0,0.0,3.429609993151022,15.8
4,3,160.02872760037332,0.9515200084157042,0.0,0.7803474157551752,0.0,0.0,3.4688415515845397,15.8
5,3,136.07989420743485,0.9501113494898836,0.0,0.763810909609818,0.004861111111111111,0.0,3.4987825562902377,16.1
6,3,127.97733112802133,0.9508625813213386,0.0,0.6808970581021168,0.0,0.0,3.4576390939229835,15.8
7,3,119.07916489828658,0.9500888297862244,0.0,0.6528157658332616,0.002777777777777778,0.0,3.501339446637543,15.9
8,3,119.58112335022108,0.9531806319324094,0.0,0.7239480460511243,0.0,0.0,3.3981903887242844,15.5
9,3,143.28608143529885,0.950756138320502,0.0,0.7783977042950744,0.0,0.0,3.4436824022984815,15.7
10,3,152.74276793858257,0.9534550597171967,0.0,0.8575823178165245,0.0,0.0,3.394366605983594,15.5
11,3,164.95404805139148,0.9501264258064517,0.0,0.8593301502224455,0.002777777777777778,0.0,3.5330852706315565,15.9
12,3,116.30791771676195,0.9527641995168588,0.0,0.7869897787030009,0.0,0.0,3.421310099607468,15.9
13,3,118.11855960985274,0.9501276647960338,0.0,0.7915322279775079,0.001388888888888889,0.0,3.3974699425339527,16.2
14,3,114.2499717995941,0.9538942578393167,0.0,0.729897680730878,0.0,0.0,3.3368974697081235,15.9
15,3,134.28022993938012,0.9514102051716288,0.0,0.8103232946217065,0.0,0.0,3.4154656279390974,15.8
16,3,140.48943978843798,0.9501615555243941,0.0,0.8155815265546748,0.0006944444444444445,0.0,3.4969058994234534,15.7
17,3,154.9548979089147,0.9503490262427805,0.0,0.8529587138093069,0.003472222222222222,0.0,3.5569580670652976,15.6
