episode,stage,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,q_activation_freq,curtailed_kwh,peak_mw,wall_s
0,0,39.365849116036564,0.9535804212889988,0.0,0.8655832553465158,0.0,0.0,3.3930498187326217,16.2
1,0,27.74356484827853,0.952841273194687,0.0,0.7854942908234928,0.0,0.0,3.4153462475229475,15.6
2,0,27.08452677443143,0.9542194074132271,0.0,0.5873664196594537,0.0,0.0,3.3558088085678897,15.6
3,0,15.952240997607003,0.9554758861982767,0.0,0.43454888930770763,0.0,0.0,3.316658071216336,15.6
4,0,23.566635747036457,0.9546586318373849,0.0,0.6566160238508894,0.0,0.0,3.343076394524067,15.6
5,0,24.963732189410724,0.95432583178541,0.0,0.5781392933034967,0.0,0.0,3.3619313992771334,15.7
6,0,27.21108783683563,0.95485826439536,0.0,0.7752228902712374,0.0,0.0,3.3256889434625476,15.6
7,0,27.180585419042988,0.9546615071888024,0.0,0.6313895168707642,0.0,0.0,3.3461980994872293,15.5
8,0,39.13343295672571,0.9548080155352175,0.0,0.7013690655957759,0.0,0.0,3.3627835176669643,15.6
9,0,38.42476423007911,0.9539000600172127,0.0,0.7191460236883414,0.0,0.0,3.375339981031182,15.8
10,0,43.769993691891884,0.9551440248392647,0.0,0.6314566329713397,0.0,0.0,3.349732236953056,15.6
11,0,40.715908647839655,0.9548515591437907,0.0,0.8260484824870953,0.0,0.0,3.3318043574417593,15.7
12,0,28.83536785469474,0.9550747733218072,0.0,0.5436847624640162,0.0,0.0,3.3437600745304903,15.6
13,0,44.097310416153555,0.9523744990004859,0.0,0.7126817886581092,0.0,0.0,3.377987504607595,15.8
14,0,44.44561886061745,0.954802942167558,0.0,0.5641482565290001,0.0,0.0,3.333437217462529,15.6
15,0,37.17160933493606,0.9533286820971639,0.0,0.6830381214976887,0.0,0.0,3.371784527113175,15.7
16,0,36.87011230502455,0.9536112006826291,0.0,0.7695282574867888,0.0,0.0,3.359094009721508,15.7
17,0,33.06397299009736,0.9530640324953223,0.0,0.5970978641794464,0.0,0.0,3.378783163603116,15.7
18,0,31.65213411718503,0.9535742923404711,0.0,0.5408256375149775,0.0,0.0,3.379366116181632,15.9
19,0,28.370636741016583,0.9536113255244932,0.0,0.5243005136385712,0.0,0.0,3.375965812970245,15.7
20,0,27.686942045565445,0.9546089540161624,0.0,0.5303516406155201,0.0,0.0,3.3414650988933285,15.9
21,0,36.01372787723091,0.9541335175329044,0.0,0.7400888727786803,0.0,0.0,3.377060194147414,15.9
22,0,37.74475545308705,0.9548066345009969,0.0,0.787501306354309,0.0,0.0,3.3411906791095656,15.9
23,0,45.928451811929094,0.9532144437693401,0.0,0.8985236777728475,0.0,0.0,3.3540437268403833,16.1
24,0,44.570936091073655,0.9512666437022874,0.0,0.7054281284314838,0.0,0.0,3.4281116867195243,15.9
25,0,49.76446124327258,0.9543272435646398,0.0,0.8140711480930383,0.0,0.0,3.363302254408391,15.9
26,0,33.04235893849693,0.9545424639718457,0.0,0.6562570680692045,0.0,0.0,3.305773379578853,15.9
27,0,45.389061797010626,0.9539440257771025,0.0,0.9557651424433217,0.0,0.0,3.3837907303017345,16.1
28,0,33.90528597592492,0.9554008776133011,0.0,0.8171720863001121,0.0,0.0,3.3408858867312654,15.9
29,0,36.40091159830211,0.9516133127467892,0.0,0.6384039111400777,0.0,0.0,3.4442846282156725,15.9
30,0,35.97525594602279,0.9543569428774475,0.0,0.8584562587850472,0.0,0.0,3.351520853081337,16.0
31,0,50.631417327181204,0.9550232040144538,0.0,0.8941563088890015,0.0,0.0,3.3241371463386726,15.9
32,0,39.11648120625974,0.9552532160598691,0.0,0.7358592573794067,0.0,0.0,3.3452403002790168,16.1
33,0,49.668460292460615,0.9524522952486485,0.0,0.8932379298023239,0.0,0.0,3.4150528301940164,15.9
34,0,44.71853495781058,0.9541138803649154,0.0,0.9288549245735339,0.0,0.0,3.3235005695128854,15.9
35,0,32.40164194029791,0.9553626892584066,0.0,0.8534507840241614,0.0,0.0,3.3308815181118425,15.9
36,0,40.01647733084966,0.9522369223640362,0.0,0.8335489588361498,0.0,0.0,3.372877635457022,16.1
37,0,51.231646763710074,0.9529915545646498,0.0,0.7970343964570678,0.0,0.0,3.406096357913243,16.0
38,0,41.71379406187153,0.9547511766195844,0.0,0.7956260430322291,0.0,0.0,3.319234623307487,16.0
39,0,45.829222080904024,0.9540986331578207,0.0,0.8234532455915505,0.0,0.0,3.3579433967219843,15.9
40,0,45.805646009968726,0.9536788491094652,0.0,0.8228738628631472,0.0,0.0,3.37588803984216,15.9
41,0,45.488111236673554,0.9537103379220435,0.0,0.9807064007350623,0.0,0.0,3.401205866268751,16.1
42,0,49.06489809798977,0.9541475378776516,0.0,0.9139004557168867,0.0,0.0,3.387416436545817,15.9
43,0,30.94353766733215,0.9548632566051408,0.0,0.6380495161360601,0.0,0.0,3.3474107279805914,16.0
44,0,42.443919883873576,0.9542354846649539,0.0,0.9707446540999248,0.0,0.0,3.376406658088273,15.9
45,0,41.1719835004469,0.9534105821406548,0.0,0.8974786130802647,0.0,0.0,3.3794418976491305,16.0
46,0,59.176653088141364,0.9538015056453851,0.0,0.9325123991704696,0.0,0.0,3.3679145407834947,15.8
