episode,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,peak_mw,wall_s
0,145.1979053486406,0.9507015891756138,0.0,0.8708254245627938,3.4051042233529687,15.2
1,145.6095143186153,0.9531262213419092,0.0,0.8632398400873615,3.4452589617690332,13.7
2,178.81633253040263,0.9507352047784488,0.0,0.8352697563753961,3.489068047179812,14.1
3,166.69416760251693,0.9511210248476551,0.0,0.8731173549370504,3.40629173244423,14.5
4,189.67306921493434,0.9483779024327386,0.1388888888888889,0.8050873903767077,3.56063011665596,14.3
5,169.54070930186188,0.9513499041376888,0.0,0.8102066616608595,3.428861264525364,13.8
6,179.7845824228197,0.9507162995709948,0.0,0.8423100601830825,3.4801048748944874,13.8
7,173.84262756770607,0.9476912916025039,0.3472222222222222,0.8012598458281439,3.5060825109591884,14.0
8,140.75106558483142,0.950657779225564,0.0,0.7324348581006654,3.4415223666658994,14.5
9,91.71241101733773,0.9542124203113644,0.0,0.6276836417483797,3.3452258426314088,14.3
10,89.57337751728068,0.9527628341652081,0.0,0.5451690995896121,3.406907391638014,14.2
11,120.24179947482683,0.9507396778502715,0.0,0.7024952441015513,3.4390954069912576,14.2
12,75.31525560333947,0.9541006788188134,0.0,0.5725758461904544,3.3702873715373665,14.4
13,106.3726787846659,0.953564618822743,0.0,0.6405316973428099,3.334112875930375,14.2
14,83.30523403393282,0.9534893714966038,0.0,0.5874724457466314,3.3507420348767605,14.2
15,127.72033424397833,0.9484758832115938,0.625,0.7264956207182924,3.4713398198444914,14.2
16,78.38001143406893,0.9554488962711598,0.0,0.6129927270045896,3.326159344944819,14.4
17,89.99706821135268,0.9515240651730469,0.0,0.5954406415089912,3.435802995104836,14.2
18,111.62513275445589,0.9525849808115535,0.0,0.6920019905088358,3.421671967047454,14.2
19,85.98780147858601,0.9532217407488099,0.0,0.6445664877495787,3.431740089893824,14.4
20,80.89849609193266,0.9531887670947148,0.0,0.6505975716454468,3.3808484831493653,14.2
21,64.72986576040378,0.9541846324498271,0.0,0.5266828805161736,3.3823024938135324,14.3
22,71.96357297451789,0.9557146606249697,0.0,0.5729859600872823,3.324474361789049,14.2
23,76.79214639391651,0.9539244838435771,0.0,0.6313994976674193,3.3231461548228034,14.5
24,77.55471588897592,0.9529527947493993,0.0,0.6056423794586425,3.3955868848566864,14.3
25,96.6341507143443,0.955165560373137,0.0,0.6078682965439678,3.3465314109381277,14.3
26,113.20380112028603,0.9513748619067858,0.0,0.7183099807876435,3.4422800322609413,14.3
27,92.4070949282797,0.9544128693932203,0.0,0.5988959262349356,3.3681539351459904,14.5
28,99.29805751533054,0.9535295381224546,0.0,0.5644787055710129,3.3717790263955334,14.2
